"date","close_price","open_price","high","low","amount","diff_ratio"
"2023-11-28","3,038.55","3,028.60","3,039.69","3,020.23","26.89B","0.23%"
"2023-11-27","3,031.70","3,038.19","3,038.36","3,015.01","31.05B","-0.30%"
"2023-11-24","3,040.97","3,060.33","3,060.33","3,037.20","28.78B","-0.68%"
"2023-11-23","3,061.86","3,041.68","3,062.87","3,034.30","27.66B","0.60%"
"2023-11-22","3,043.61","3,060.50","3,067.96","3,043.61","28.91B","-0.79%"
"2023-11-21","3,067.93","3,074.83","3,089.77","3,063.34","33.07B","-0.01%"
"2023-11-20","3,068.32","3,056.93","3,072.51","3,043.51","28.76B","0.46%"
"2023-11-17","3,054.37","3,043.62","3,055.86","3,033.75","26.76B","0.11%"
"2023-11-16","3,050.93","3,066.86","3,071.45","3,050.93","27.11B","-0.71%"
"2023-11-15","3,072.83","3,077.03","3,080.13","3,064.35","30.42B","0.55%"
"2023-11-14","3,056.07","3,046.82","3,059.53","3,044.43","29.48B","0.31%"
"2023-11-13","3,046.53","3,044.03","3,048.62","3,028.17","29.04B","0.25%"
"2023-11-10","3,038.97","3,043.56","3,044.00","3,027.09","28.55B","-0.47%"
"2023-11-9","3,053.28","3,047.65","3,063.47","3,045.83","31.56B","0.03%"
"2023-11-8","3,052.37","3,051.15","3,062.99","3,037.29","33.57B","-0.16%"
"2023-11-7","3,057.27","3,052.92","3,064.58","3,042.47","32.69B","-0.04%"
"2023-11-6","3,058.41","3,047.13","3,058.99","3,037.69","37.30B","0.91%"
"2023-11-3","3,030.80","3,012.47","3,040.98","3,012.47","26.85B","0.71%"
"2023-11-2","3,009.41","3,028.66","3,038.64","3,009.12","26.88B","-0.45%"
"2023-11-1","3,023.08","3,038.18","3,038.33","3,013.93","28.01B","0.14%"
"2023-10-31","3,018.77","3,019.65","3,023.00","3,006.61","31.99B","-0.09%"
"2023-10-30","3,021.55","3,009.61","3,028.26","3,002.35","36.06B","0.12%"
"2023-10-27","3,017.78","2,978.40","3,029.21","2,974.88","32.18B","0.99%"
"2023-10-26","2,988.30","2,960.10","2,990.33","2,956.01","29.18B","0.48%"
"2023-10-25","2,974.11","2,986.41","2,993.30","2,972.42","33.24B","0.40%"
"2023-10-24","2,962.24","2,944.31","2,964.76","2,929.09","31.10B","0.78%"
"2023-10-23","2,939.29","2,969.79","2,973.66","2,923.51","27.89B","-1.47%"
"2023-10-20","2,983.06","2,995.36","3,006.27","2,977.17","26.71B","-0.74%"
"2023-10-19","3,005.39","3,043.20","3,043.20","3,004.77","30.40B","-1.74%"
"2023-10-18","3,058.71","3,076.58","3,076.58","3,057.06","26.86B","-0.80%"
"2023-10-17","3,083.50","3,076.43","3,084.07","3,064.89","25.90B","0.32%"
"2023-10-16","3,073.81","3,091.06","3,091.13","3,063.69","26.39B","-0.46%"
"2023-10-13","3,088.10","3,092.00","3,094.92","3,080.55","25.51B","-0.64%"
"2023-10-12","3,107.90","3,101.71","3,109.99","3,092.18","27.48B","0.94%"
"2023-10-11","3,078.96","3,085.70","3,095.66","3,071.94","25.99B","0.12%"
